time_s,ring1_x,ring1_y,ring1_z,ring1_dist,ring2_x,ring2_y,ring2_z,ring2_dist,ring3_x,ring3_y,ring3_z,ring3_dist,ring4_x,ring4_y,ring4_z,ring4_dist,ring5_x,ring5_y,ring5_z,ring5_dist,ring6_x,ring6_y,ring6_z,ring6_dist,ring7_x,ring7_y,ring7_z,ring7_dist,ring8_x,ring8_y,ring8_z,ring8_dist,ring9_x,ring9_y,ring9_z,ring9_dist,ring10_x,ring10_y,ring10_z,ring10_dist
2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000244e-01,8.940697071579961630e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000044e-01,1.788139358804841095e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.199999999999999845e-01,2.682209010451686026e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000200e-01,3.576278717609682190e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.980232172156149772e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000355e-01,5.364418131925674516e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.799999999999999600e-01,1.192092868862459909e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.199999999999999956e-01,7.152557435219364379e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000311e-01,1.430511464839412383e-08,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,4.999989271163962634e-03
4.000000000000000083e-03,-9.451106584709990455e-17,1.751036710131508745e-14,3.400000745969113392e-01,7.549098102188829225e-08,-4.087896253092136555e-16,-1.871350025831981544e-14,3.800001960908211407e-01,1.978789604950578906e-07,-9.693623879171583261e-16,-2.146697712505570120e-15,4.200003016885545115e-01,3.043707635375092480e-07,-1.798603672367618696e-15,-3.423337022148564707e-15,4.600003830737632304e-01,3.866500419280605172e-07,-2.911996595547440880e-15,1.349032268142750513e-14,5.000000515033365955e-01,4.852310442338402268e-08,-4.301479334826527078e-15,1.317421088558649342e-14,5.400005633169517871e-01,5.686813698835282324e-07,-5.910619131794186768e-15,1.355737937596169435e-14,5.800007044005632828e-01,7.032084704539089856e-07,7.429201469081287695e-15,-1.193096740009886356e-14,6.200008779134020820e-01,8.850659595216472283e-07,-9.316683975047582348e-15,-1.964725810355281340e-14,6.600010549307365748e-01,1.040625621895330255e-06,1.912540417675462817e-15,1.239133564926049566e-14,7.000111769270576101e-01,5.011166198221617130e-03
6.000000000000000125e-03,-7.568890650891545924e-10,-2.181261138871380798e-09,3.400001983827201646e-01,1.992811501932750095e-07,-1.975405210084694060e-09,-6.850851080799654966e-09,3.800005215323204455e-01,5.233361391359894951e-07,-2.145264309233740477e-09,-1.363346363397634202e-08,4.200008024836558995e-01,8.052071286741962511e-07,-1.018701238371841324e-09,-2.072475274886903737e-08,4.600010191112725022e-01,1.022766264770917289e-06,-2.691833161266556013e-09,-2.584666886217973582e-08,5.000002246593764355e-01,2.222918465402422064e-07,-6.175847857855530446e-09,-2.460870640967315058e-08,5.400014992149795301e-01,1.504676963251396142e-06,-9.925062580816974823e-09,-1.312286708268637535e-08,5.800018752748357098e-01,1.874125697664259882e-06,-1.321838724458404139e-08,1.284881863551706079e-08,6.200023382071397915e-01,2.345361681153040049e-06,-1.585664516302269434e-08,5.647272210862835862e-08,6.600028113079754455e-01,2.797079766000949896e-06,-1.850407543599814488e-08,1.071404677833506199e-07,7.000315202011649918e-01,5.031509472536939247e-03
8.000000000000000167e-03,4.866380744891411049e-10,-7.030809969837559628e-09,3.400003517428287214e-01,3.526593611830791248e-07,1.723580191159864979e-09,-2.450880609932705287e-08,3.800009247883299190e-01,9.266824065386310864e-07,1.991554850777675620e-09,-4.728827125943804900e-08,4.200014231450999724e-01,1.426095331150566772e-06,6.116746227676269287e-10,-6.676182413285871524e-08,4.600018075602216872e-01,1.811585575214781747e-06,-6.494784766363061520e-09,-7.411840765205503835e-08,5.000005741535358261e-01,5.731635252514486197e-07,-1.503865222001790798e-08,-6.097003370185508339e-08,5.400026601030958329e-01,2.665864888249840276e-06,-2.054243326789152246e-08,-1.921788472882672660e-08,5.800033283334145029e-01,3.327286958569118275e-06,-2.370483750200722555e-08,6.343644860290517126e-08,6.200041516609563486e-01,4.158817756219560607e-06,-2.553431866522131644e-08,1.996387623554767675e-07,6.600049944441159777e-01,4.980545761366912950e-06,-2.479231548222844895e-08,3.479919563195122455e-07,7.000591682831236451e-01,5.059157555904940894e-03
1.000000000000000021e-02,1.305903304338291024e-09,-1.538124469185100121e-08,3.400005198569675535e-01,5.208171267825165964e-07,3.766747887203063247e-09,-5.423262017844952439e-08,3.800013669084320589e-01,1.369019244624681581e-06,4.057210308703971998e-09,-1.014330477683710265e-07,4.200021037563236304e-01,2.107214051801239128e-06,1.465533405180034179e-10,-1.367716557723964750e-07,4.600026723593372835e-01,2.677148521783247445e-06,-1.297361134156050643e-08,-1.400993598131015432e-07,5.000011403901156726e-01,1.140997995324810446e-06,-2.779736809312932590e-08,-1.000599473288871740e-07,5.400039341852020947e-01,3.940418206736135767e-06,-3.610144883841582698e-08,-5.035956361071837029e-09,5.800049238366076221e-01,4.922915658299684239e-06,-3.928703248026653292e-08,1.692878517376522632e-07,6.200061442090146757e-01,6.151383416289542192e-06,-3.989009175146234661e-08,4.489821680519989462e-07,6.600073953272527216e-01,7.382119942061383351e-06,-3.382804948681800786e-08,8.168442864336032436e-07,7.000926154395168410e-01,5.092604720196435182e-03
1.200000000000000025e-02,9.176378831137212524e-10,-2.720182157028031747e-08,3.400006918182397753e-01,6.928546373474362384e-07,1.946741232887675669e-09,-9.509228407125057184e-08,3.800018192179080989e-01,1.821696724938250602e-06,8.905421750172388352e-11,-1.730697061925192263e-07,4.200028001900457109e-01,2.804470328833982225e-06,-7.715197334363815610e-09,-2.243763223566590517e-07,4.600035574586452958e-01,3.563422210769539959e-06,-2.737304717683081149e-08,-2.121768302542029255e-07,5.000019520506592263e-01,1.954140594968922402e-06,-4.832290054420549647e-08,-1.235509941001489376e-07,5.400052389569016675e-01,5.245757416537607081e-06,-5.849614667628002214e-08,5.545869395100836432e-08,5.800065585380046462e-01,6.557712445828896335e-06,-5.992141914676739285e-08,3.644137593723114221e-07,6.200081870354638980e-01,8.194280256641264928e-06,-5.672382487251025146e-08,8.454041534993448914e-07,6.600098589386371728e-01,9.846955028480540255e-06,-4.259341599885359705e-08,1.533036895347386087e-06,7.001307804629847142e-01,5.130769766082315941e-03
1.400000000000000029e-02,1.462186920104457220e-10,-4.166450483680936239e-08,3.400008598687235817e-01,8.610123022502688457e-07,-9.081856919428607039e-10,-1.436000680479931752e-07,3.800022613121024628e-01,2.264287050678411029e-06,-5.713078992474725179e-09,-2.548372182774493915e-07,4.200034810300673493e-01,3.486372218940490753e-06,-1.842970616020211982e-08,-3.175866581449037531e-07,4.600044229285707997e-01,4.430334279558867367e-06,-4.531418692162631253e-08,-2.735028106996515798e-07,5.000030290797304877e-01,3.032186772156560315e-06,-7.258588610399335406e-08,-1.097713093109215552e-07,5.400065155413551476e-01,6.522864833642383501e-06,-8.453743953773734673e-08,1.883759186152103652e-07,5.800081586599441508e-01,8.157853112952621132e-06,-8.404799744559883595e-08,6.780896726283357442e-07,6.200101879166510788e-01,1.019534587566187504e-05,-7.658257377751211374e-08,1.419492509633232894e-06,6.600122740172927882e-01,1.226388977164681285e-05,-5.426551250804924436e-08,2.509161235339991120e-06,7.001726472155903602e-01,5.172636562939903447e-03
1.600000000000000033e-02,-4.424272572074672929e-10,-5.779392580134477141e-08,3.400010187451528720e-01,1.020017045433772850e-06,-3.248460174490826723e-09,-1.961241704131568349e-07,3.800026793410898884e-01,2.682887096923093500e-06,-1.106504052632370760e-08,-3.394399986896865917e-07,4.200041249370265461e-01,4.131456955350309094e-06,-2.915583440941299770e-08,-4.050332227173373361e-07,4.600052416258376131e-01,5.250557718009976679e-06,-6.374789995023460812e-08,-3.089739871771423861e-07,5.000043832857196113e-01,4.386866364708675031e-06,-9.773416377298877060e-08,-3.997768000998222334e-08,5.400077238292405601e-01,7.731537303471005279e-06,-1.121575613257031866e-07,4.162845412313085787e-07,5.800096738573046196e-01,9.672990809962898987e-06,-1.108721858016103401e-07,1.136459605269642718e-06,6.200120837764692139e-01,1.209157481862761447e-05,-1.003595189204443715e-07,2.200235887641602016e-06,6.600145642242986055e-01,1.455665252959471874e-05,-7.154541064936683869e-08,3.765137054826244335e-06,7.002172695852338924e-01,5.217259004518635598e-03
1.800000000000000211e-02,-9.777650961090277169e-10,-7.466928264414683365e-08,3.400011651271500623e-01,1.166536362400021845e-06,-5.449246034810155218e-09,-2.492835960490925350e-07,3.800030645603827417e-01,3.068694150386519455e-06,-1.630573716414100196e-08,-4.201976164195634751e-07,4.200047184239673048e-01,4.726115059743078335e-06,-3.989812697888425125e-08,-4.765077370368109599e-07,4.600059963760707582e-01,6.006755530183154007e-06,-8.236004082251084430e-08,-3.053266690408977504e-07,5.000060189910735531e-01,6.022576757403557005e-06,-1.232938705708045152e-07,1.021637012853769819e-07,5.400088383645856860e-01,8.846279779129606979e-06,-1.409433144710454455e-07,7.590558728905465946e-07,5.800110721017650572e-01,1.107112766935342118e-05,-1.401008841594127333e-07,1.763164105125316442e-06,6.200138343571766075e-01,1.384277589156369592e-05,-1.279990786465023690e-07,3.215012187384776555e-06,6.600166806228471295e-01,1.667634468817589762e-05,-9.463360930910332292e-08,5.326032389857109236e-06,7.002637750250576554e-01,5.263764549273751252e-03
2.000000000000000042e-02,-1.552862197205084747e-09,-9.148054039158983911e-08,3.400012971770766668e-01,1.298721707055524939e-06,-7.790493530059285954e-09,-3.001220162859642762e-07,3.800034121235162377e-01,3.416812795038535746e-06,-2.179040312307896082e-08,-4.912798688975560143e-07,4.200052540027134906e-01,5.262761680500032080e-06,-5.092832307090245280e-08,-5.231083949964528162e-07,4.600066776248140643e-01,6.689256714644038064e-06,-1.013093707333213313e-07,-2.509570063921936820e-07,5.000079337181545514e-01,7.936968454499764377e-06,-1.493223697721810763e-07,3.311216567527417573e-07,5.400098449093826414e-01,9.852854590977063470e-06,-1.708429103101193631e-07,1.234577810372871293e-06,5.800123354049037117e-01,1.233432059245284240e-05,-1.714880641694095547e-07,2.579943216617410493e-06,6.200154169204336041e-01,1.542626555872431376e-05,-1.590657515205644792e-07,4.489781995516412904e-06,6.600185953652942805e-01,1.859513241454755186e-05,-1.228621778891956389e-07,7.220145750089894613e-06,7.003113667947287180e-01,5.311356462967101004e-03
