time_s,ring1_x,ring1_y,ring1_z,ring1_dist,ring2_x,ring2_y,ring2_z,ring2_dist,ring3_x,ring3_y,ring3_z,ring3_dist,ring4_x,ring4_y,ring4_z,ring4_dist,ring5_x,ring5_y,ring5_z,ring5_dist,ring6_x,ring6_y,ring6_z,ring6_dist,ring7_x,ring7_y,ring7_z,ring7_dist,ring8_x,ring8_y,ring8_z,ring8_dist,ring9_x,ring9_y,ring9_z,ring9_dist,ring10_x,ring10_y,ring10_z,ring10_dist
2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000244e-01,8.940697071579961630e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000044e-01,1.788139358804841095e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.199999999999999845e-01,2.682209010451686026e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000200e-01,3.576278717609682190e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.980232172156149772e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000355e-01,5.364418131925674516e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.799999999999999600e-01,1.192092868862459909e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.199999999999999956e-01,7.152557435219364379e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000311e-01,1.430511464839412383e-08,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,5.960464455334602007e-09
4.000000000000000083e-03,-1.011593086187701803e-16,1.750259241209373136e-14,3.400000744596397562e-01,7.535370943889880787e-08,-4.092313690149724574e-16,-1.871615072055436736e-14,3.800001950805421691e-01,1.968686815234663300e-07,-9.087993258576239571e-16,-2.085206988663942144e-15,4.200002984338500056e-01,3.011160590316031005e-07,-1.580227671425745063e-15,-3.192216715295549333e-15,4.600003757902931811e-01,3.793665718787586627e-07,-2.397851096414748180e-15,1.403631790174540963e-14,5.000000500391824643e-01,4.705895029211418986e-08,-3.320123605298016801e-15,1.421884640096495454e-14,5.400005432849663833e-01,5.486493844797382011e-07,-4.271440762834926778e-15,1.530456408097898940e-14,5.800006781863005223e-01,6.769942076934045602e-07,9.917411240509002377e-15,-9.303299140763088508e-15,6.200008488723220967e-01,8.560248795363991533e-07,-5.884269119745672649e-15,-1.594774291656382932e-14,6.600010259106543486e-01,1.011605539669169430e-06,-7.263260446012986872e-15,2.434298077047100839e-15,7.000022493379002286e-01,2.243377435817706100e-06
6.000000000000000125e-03,-6.815499302313132902e-10,-7.863540915385345357e-09,3.400001980175293981e-01,1.989612593698893260e-07,-1.714758766460544495e-09,-2.753531093191670064e-08,3.800005188452740823e-01,5.208678747608848215e-07,-1.664841938572919025e-09,-5.425465069442464180e-08,4.200007938249026851e-01,7.971225231956762844e-07,-3.601433875202380114e-10,-8.128228884387966727e-08,4.600009997294617903e-01,1.004451880760274977e-06,-1.962392884217264849e-09,-1.002947812827599254e-07,5.000001629918808810e-01,1.713503066260768399e-07,-5.547390736297246548e-09,-9.914846899737017721e-08,5.400014458705306719e-01,1.452678554529987884e-06,-9.701215587322857789e-09,-6.414463728561249838e-08,5.800018054224596042e-01,1.804953897529988119e-06,-1.380746353895777130e-08,2.060143807258667136e-08,6.200022607380223372e-01,2.267924062868852264e-06,-1.781778249360676038e-08,1.707727741112063906e-07,6.600027311352216763e-01,2.717512075256831079e-06,-2.127819946453901803e-08,4.810090396474651014e-07,7.000064682658825310e-01,6.467299833016954666e-06
8.000000000000000167e-03,7.382787110917035639e-10,-2.867520849341284874e-08,3.400003510957428920e-01,3.523418243713283282e-07,2.641768347826066324e-09,-1.011486601073331949e-07,3.800009200238717577e-01,9.235248196549725259e-07,4.262226856831347089e-09,-1.923129601605120521e-07,4.200014077880936947e-01,1.414687223834085105e-06,4.168061757003643449e-09,-2.721620247673709873e-07,4.600017731744706628e-01,1.783876335213971960e-06,-2.809569804720946596e-09,-3.067394606315567179e-07,5.000003500318104255e-01,3.953959878208915599e-07,-1.315415223616188999e-08,-2.692631580272535344e-07,5.400025653984253937e-01,2.577581756565422438e-06,-2.233827135371253967e-08,-1.284116120941045869e-07,5.800032042446193747e-01,3.205982392238632859e-06,-3.028866776785394566e-08,1.655690462292131241e-07,6.200040139024970420e-01,4.021083799111597142e-06,-3.684139513579394875e-08,6.626140054904907318e-07,6.600048469936844464e-01,4.837090963968637408e-06,-3.939676499755126732e-08,1.651067469493442648e-06,7.000123814216213658e-01,1.240043910919790267e-05
1.000000000000000021e-02,1.124307874691946321e-09,-6.468817085569773486e-08,3.400005189017780149e-01,5.209416097322764122e-07,3.318673399527953590e-09,-2.252795541057272742e-07,3.800013598671572734e-01,1.367121101629769207e-06,4.161274404126922156e-09,-4.156820457410812824e-07,4.200020810523402703e-01,2.096550427609442141e-06,7.650063971967946277e-10,-5.625123096366752635e-07,4.600026215090434190e-01,2.645393346298397334e-06,-1.286837549184657209e-08,-5.848700445729137854e-07,5.000006205366734902e-01,7.198139408098743895e-07,-3.009851390528989210e-08,-4.445352733313965990e-07,5.400037940446119622e-01,3.815119255359563134e-06,-4.257078175294745653e-08,-9.566739570235035863e-08,5.800047401065242525e-01,4.744596350007197195e-06,-5.135730068957549550e-08,5.615151465133428711e-07,6.200059400395010467e-01,5.947227195528618936e-06,-5.693699323695209031e-08,1.623945935731427460e-06,6.600071696211400329e-01,7.169146696988866585e-06,-5.428643496381316783e-08,3.645191199343758370e-06,7.000197204973562792e-01,1.977582029777607517e-05
1.200000000000000025e-02,4.137260516535991431e-10,-1.143983250660146682e-07,3.400006905487034659e-01,6.939767808824406090e-07,7.280595076381534256e-10,-3.921689228244430592e-07,3.800018098472597305e-01,1.823414938804929440e-06,-1.216209163959877645e-09,-7.049392582970216516e-07,4.200027699656745384e-01,2.799264576687900725e-06,-9.774107408064493021e-09,-9.155324178821489473e-07,4.600034897492075170e-01,3.533518704037483546e-06,-3.127229664522945731e-08,-8.747845414166398470e-07,5.000009820296498209e-01,1.136165086416463234e-06,-5.528737184396342541e-08,-5.403719151364090701e-07,5.400050522415413834e-01,5.083485729412372821e-06,-6.906495412913879726e-08,1.404906708455254449e-07,5.800063136108537520e-01,6.320080041199927491e-06,-7.491120421849082568e-08,1.329827764301293728e-06,6.200079146145894837e-01,7.922364841263533543e-06,-7.498002582401998696e-08,3.180869076616883889e-06,6.600095483342864888e-01,9.565049756143259078e-06,-6.289201978152272533e-08,6.551192672765709048e-06,7.000282265635665579e-01,2.833019997822574609e-05
1.400000000000000029e-02,-3.586115917200539608e-10,-1.739890298219642228e-07,3.400008582925069800e-01,8.636068400408868235e-07,-1.988843729321252605e-09,-5.870909451436020864e-07,3.800022496645138470e-01,2.271502594333344381e-06,-7.055252989221837174e-09,-1.029458308520093276e-06,4.200034434507579628e-01,3.490122370800810242e-06,-2.141106798019858401e-08,-1.281895758143219747e-06,4.600043387258056504e-01,4.406194231066569364e-06,-5.138043058829541662e-08,-1.108323674156519566e-06,5.000014401528035668e-01,1.636429420715917445e-06,-8.258800849222090483e-08,-4.712810885022724835e-07,5.400062832133770696e-01,6.323326920205784446e-06,-9.805710666750778482e-08,6.799007771873371185e-07,5.800078537398853928e-01,7.860598281396198578e-06,-1.014864739823895351e-07,2.578216458541306070e-06,6.200098484783898023e-01,9.858281343160050155e-06,-9.661903817404174433e-08,5.439687797217104156e-06,6.600118754490081896e-01,1.191810207886034703e-05,-7.576002633403146594e-08,1.043826011296947729e-05,7.000376520768791799e-01,3.780985957950797868e-05
1.600000000000000033e-02,-9.618140867317550455e-10,-2.392704775583054429e-07,3.400010168795620791e-01,1.024372448522581311e-06,-4.181158111112762363e-09,-7.946868422868186009e-07,3.800026655402510278e-01,2.696601001263782866e-06,-1.223382934908328529e-08,-1.358778523762908531e-06,4.200040803989298355e-01,4.145766466167526478e-06,-3.249134465722395466e-08,-1.615034276438154503e-06,4.600051418135451820e-01,5.233513448573821230e-06,-7.121784500002426262e-08,-1.225000348029885562e-06,5.000019986701083052e-01,2.218749444745404909e-06,-1.101741329114492935e-07,-1.640448624964186802e-07,5.400074482856745961e-01,7.494452412906185228e-06,-1.285565731702801357e-07,1.608565707969662938e-06,5.800093120384334222e-01,9.317737561817546825e-06,-1.313634696793856357e-07,4.403573733932436712e-06,6.200116806718767304e-01,1.169506806585460938e-05,-1.236680786916606459e-07,8.504242236490596547e-06,6.600140775045671981e-01,1.415530789147674292e-05,-9.649285341788194296e-08,1.539064471582238871e-05,7.000477625694135897e-01,4.797544914280995362e-05
1.800000000000000211e-02,-1.466905813128067654e-09,-3.062338918888828230e-07,3.400011629952975345e-01,1.172726192377734710e-06,-6.097179586827083509e-09,-1.000491037685796398e-06,3.800030487747654284e-01,3.088962638204412960e-06,-1.705952218864752359e-08,-1.664710866212884526e-06,4.200046674695029902e-01,4.750693470248981443e-06,-4.322491889596880532e-08,-1.872737993580501058e-06,4.600058821667993847e-01,5.995802496480389651e-06,-9.089022895239220761e-08,-1.171414543956352973e-06,5.000026594976937355e-01,2.885128213128939038e-06,-1.381128525153251106e-07,4.451717166833315876e-07,5.400085229154039101e-01,8.571746625705833894e-06,-1.606615551695614245e-07,3.001850950903903753e-06,5.800106576842846140e-01,1.066124598198332936e-05,-1.645746065966829131e-07,6.892707711671524974e-06,6.200133722929137559e-01,1.339476855160682543e-05,-1.560495104926404439e-07,1.247179710282892215e-05,6.600161078091394407e-01,1.622996645941544681e-05,-1.251780882476586290e-07,2.149947132678930946e-05,7.000583380280248624e-01,5.860363798027658005e-05
2.000000000000000042e-02,-1.967856640490742052e-09,-3.714537457795376432e-07,3.400012948051965855e-01,1.306638469120163916e-06,-8.046236994710610938e-09,-1.192164729179414976e-06,3.800033945464661445e-01,3.442938478401246841e-06,-2.200407979081776778e-08,-1.923246518715057632e-06,4.200051972559636360e-01,5.295901057513950268e-06,-5.414680829621863830e-08,-2.019072183722149233e-06,4.600065504149194462e-01,6.681820159947558911e-06,-1.109319058555268777e-07,-9.020626222841674316e-07,5.000034227588253666e-01,3.639267002633552673e-06,-1.668578325665349663e-07,1.411480481368506112e-06,5.400094933761642180e-01,9.541654655825291303e-06,-1.946164327054093090e-07,4.926210856913310674e-06,5.800118733672123827e-01,1.187462987524113910e-05,-2.010049173807762323e-07,1.012460296874151909e-05,6.200149013688923683e-01,1.493613644858738781e-05,-1.932119411132709575e-07,1.743482839033695753e-05,6.600179401948160773e-01,1.811561783663324918e-05,-1.609421886870770020e-07,2.886216469094634842e-05,7.000691739767087585e-01,6.948812905926672829e-05
2.199999999999999872e-02,-2.056005908755862451e-09,-4.322509348693778577e-07,3.400014115778424162e-01,1.425253383593219866e-06,-7.996153076984326557e-09,-1.360050438231527251e-06,3.800037009248063424e-01,3.756121634609034310e-06,-2.362377852077897304e-08,-2.115025415066827139e-06,4.200056667785136977e-01,5.777538374209278789e-06,-6.157540067816478184e-08,-2.024508421394276265e-06,4.600071427666400092e-01,7.286932098765969172e-06,-1.280251781843889550e-07,-3.786475515279111430e-07,5.000042868610347080e-01,4.484448662981987658e-06,-1.936850476979537079e-07,2.782805840984019635e-06,5.400103540277239045e-01,1.039916225055933520e-05,-2.282522480134634011e-07,7.441257638582304742e-06,5.800129518902740200e-01,1.295153310793610728e-05,-2.389572592995600046e-07,1.417250791825500728e-05,6.200162586211137583e-01,1.631037498033703528e-05,-2.338754668320131914e-07,2.348230028456325681e-05,6.600195638582231350e-01,1.980104025144899292e-05,-2.028793636091804241e-07,3.758085395696375227e-05,7.000800822782013988e-01,8.044013962114633220e-05
2.400000000000000050e-02,-2.993699219927747377e-09,-4.865540623544122869e-07,3.400015133796494005e-01,1.528577758757867337e-06,-1.197451614590395395e-08,-1.496340877137529691e-06,3.800039680721581936e-01,4.028457184630352772e-06,-3.259948331054195682e-08,-2.224799362165258542e-06,4.200060762621357080e-01,6.195600753695141414e-06,-7.724727445176842853e-08,-1.865179441835646509e-06,4.600076594726764667e-01,7.811401875448024948e-06,-1.526273905188046819e-07,4.311059804963819298e-07,5.000052485930326363e-01,5.422145161362308986e-06,-2.262150057569853603e-07,4.601436581551067917e-06,5.400111050461930962e-01,1.114528641563341738e-05,-2.652260667332270000e-07,1.060159241002347431e-05,5.800138934059154705e-01,1.389284578260041978e-05,-2.785404541532598755e-07,1.910550755597867527e-05,6.200174440141097421e-01,1.751771560608474996e-05,-2.749952215541711364e-07,3.070036433330414086e-05,6.600209791583953045e-01,2.128615115751951429e-05,-2.449376809334554772e-07,4.776041599523393679e-05,7.000908916728272313e-01,9.128858371807284399e-05
2.600000000000000228e-02,-4.218924830236861467e-09,-5.328620321107143341e-07,3.400016008310591809e-01,1.617230265517537069e-06,-1.673151061858071660e-08,-1.595299250301301932e-06,3.800041976045861469e-01,4.261613198695505327e-06,-4.262723118653087520e-08,-2.240511691608035543e-06,4.200064281608301697e-01,6.552764451164813210e-06,-9.418985984331380069e-08,-1.521350883608272757e-06,4.600081035973290211e-01,8.258828144435700243e-06,-1.784846801268923419e-07,1.555139024030807271e-06,5.000063032256060191e-01,6.451253150618818613e-06,-2.596300366559584884e-07,6.905482140636359130e-06,5.400117508236107478e-01,1.178525292229561170e-05,-3.033547304964331780e-07,1.445715689288067641e-05,5.800147032142058956e-01,1.470443111866497655e-05,-3.186132819573969025e-07,2.498908890835866610e-05,6.200184639857372337e-01,1.856468143831960767e-05,-3.162569593911768428e-07,3.917256759039315325e-05,6.600221942453582402e-01,2.257869907596233325e-05,-2.873969218741112610e-07,5.950690486065910736e-05,7.001014480740677115e-01,1.018800855240023430e-04
2.800000000000000058e-02,-5.350402773438797206e-09,-5.701796417833260201e-07,3.400016749154256557e-01,1.692238117478474687e-06,-2.082201090562493861e-08,-1.652829278308190806e-06,3.800043920910690098e-01,4.458391568934178521e-06,-5.098433438820973401e-08,-2.152903275822010201e-06,4.200067263909021409e-01,6.853495786404591500e-06,-1.085143035477683740e-07,-9.765984186350367755e-07,4.600084800527169948e-01,8.634991211963784479e-06,-2.007390219338221187e-07,3.018834609254415958e-06,5.000074446355738944e-01,7.568080665773105678e-06,-2.889931434460907636e-07,9.731841649618702865e-06,5.400122983710282654e-01,1.232677323417521424e-05,-3.393381261734090829e-07,1.905809366548928425e-05,5.800153899925706291e-01,1.539536745308802155e-05,-3.599946646244838422e-07,3.188811757678965738e-05,6.200193292590667760e-01,1.946202682355742113e-05,-3.619964537576979009e-07,4.898093612541613227e-05,6.600232223994764169e-01,2.369161720907299174e-05,-3.385698866421408690e-07,7.292555385164200925e-05,7.001116146412111885e-01,1.120787450178615104e-04
2.999999999999999889e-02,-5.890840995700428713e-09,-5.977101011554061067e-07,3.400017368316143873e-01,1.754856202800502111e-06,-2.208660071678899500e-08,-1.665572492105840941e-06,3.800045546670599017e-01,4.622214605366361990e-06,-5.425733818259389579e-08,-1.953756590227796499e-06,4.200069757397176251e-01,7.103177916685602827e-06,-1.167780070544300600e-07,-2.158228635341513039e-07,4.600087948534892779e-01,8.946776393631152054e-06,-2.165870460165325617e-07,4.846259534231927405e-06,5.000086654711836109e-01,8.766627227437127272e-06,-3.123546738608050926e-07,1.311587584708387005e-05,5.400127563157897104e-01,1.277905226841172179e-05,-3.710113766382414964e-07,2.445279248959278084e-05,5.800159644524097713e-01,1.597665597139889780e-05,-3.999354293064039069e-07,3.986552442478397921e-05,6.200200531451176555e-01,2.022303945633921313e-05,-4.096285998010670593e-07,6.020490033475754807e-05,6.600240799697583149e-01,2.464092929891758743e-05,-3.962699517137569403e-07,8.811887427784377764e-05,7.001212716502531741e-01,1.217658846924311676e-04
3.200000000000000067e-02,-7.209559610933443325e-09,-6.146760300459261206e-07,3.400017878828984763e-01,1.806437898282085284e-06,-2.700294995425719099e-08,-1.630047261958427394e-06,3.800046887436274723e-01,4.756718649558003193e-06,-6.398455603694050075e-08,-1.635329051233159654e-06,4.200071814194987763e-01,7.307573001760663461e-06,-1.316233896740284481e-07,7.752010093724171602e-07,4.600090545539753939e-01,9.201530646532010709e-06,-2.371489722944104206e-07,7.060319436816066025e-06,5.000099573044994861e-01,1.003908757494747345e-05,-3.373040582411898120e-07,1.709135345039707282e-05,5.400131340304611394e-01,1.315192527075990269e-05,-4.013487945597231799e-07,3.068773355329841920e-05,5.800164383171474425e-01,1.646021389936125795e-05,-4.369697100964706286e-07,4.898199774437951131e-05,6.200206502535530184e-01,2.086225699056464336e-05,-4.537226992535653073e-07,7.292118113785124817e-05,6.600247848102533954e-01,2.544418860696232918e-05,-4.506851802197329526e-07,1.051869851837004534e-04,7.001303161835048527e-01,1.308397426549944931e-04
3.400000000000000244e-02,-8.448348384959870399e-09,-6.203314459553672410e-07,3.400018293952698500e-01,1.848353156239578893e-06,-3.140784364544838212e-08,-1.543020829768958690e-06,3.800047977932292098e-01,4.865588473528553278e-06,-7.239352872282150935e-08,-1.189919753208662127e-06,4.200073487395203919e-01,7.472432778965778412e-06,-1.445047129152514424e-07,2.010660563225887868e-06,4.600092658342794238e-01,9.406543894947036032e-06,-2.552471106561126850e-07,9.683779911367445444e-06,5.000113107422474723e-01,1.137615842273558689e-05,-3.599220245588464970e-07,2.169139895215027971e-05,5.400134412056688538e-01,1.345540804490316319e-05,-4.304233094333102373e-07,3.780758947203487007e-05,5.800168235654736826e-01,1.685813599381654317e-05,-4.733634648822287716e-07,5.929554521330001108e-05,6.200211355383635770e-01,2.139450892879067655e-05,-4.981056219104109188e-07,8.720289445060273241e-05,6.600253551255429452e-01,2.611925318374540769e-05,-5.071706424588988471e-07,1.242259295565899561e-04,7.001386616604328150e-01,1.392149226502964140e-04
3.600000000000000422e-02,-9.124442495695578687e-09,-6.140582148715633529e-07,3.400018626598403926e-01,1.881939707921651757e-06,-3.299041077132769472e-08,-1.401760222269014896e-06,3.800048851980174502e-01,4.952431447977439226e-06,-7.568810952175689757e-08,-6.104879488765794982e-07,4.200074828733375565e-01,7.603356470488656462e-06,-1.514880102386689727e-07,3.503976431937417700e-06,4.600094352060754566e-01,9.568884524655667199e-06,-2.672773535660904640e-07,1.273886046420761780e-05,5.000127155977498461e-01,1.276752693077464489e-05,-3.766880402223570582e-07,2.694893406550058867e-05,5.400136872181193759e-01,1.369912505965282121e-05,-4.541495426113529183e-07,4.585725750756176053e-05,5.800171318899051132e-01,1.718221891926290814e-05,-5.052570020741577774e-07,7.086402950461860150e-05,6.200215236130343088e-01,2.183436342781472638e-05,-5.393206281658106596e-07,1.031220385901499080e-04,6.600258086450773165e-01,2.668361722583292213e-05,-5.622181927262667158e-07,1.453291263877880702e-04,7.001462372288579372e-01,1.468217750456674519e-04
