time_s,ring1_x,ring1_y,ring1_z,ring1_dist,ring2_x,ring2_y,ring2_z,ring2_dist,ring3_x,ring3_y,ring3_z,ring3_dist,ring4_x,ring4_y,ring4_z,ring4_dist,ring5_x,ring5_y,ring5_z,ring5_dist,ring6_x,ring6_y,ring6_z,ring6_dist,ring7_x,ring7_y,ring7_z,ring7_dist,ring8_x,ring8_y,ring8_z,ring8_dist,ring9_x,ring9_y,ring9_z,ring9_dist,ring10_x,ring10_y,ring10_z,ring10_dist
2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000244e-01,8.940697071579961630e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000044e-01,1.788139358804841095e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.199999999999999845e-01,2.682209010451686026e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000200e-01,3.576278717609682190e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.980232172156149772e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000355e-01,5.364418131925674516e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.799999999999999600e-01,1.192092868862459909e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.199999999999999956e-01,7.152557435219364379e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000311e-01,1.430511464839412383e-08,0.000000000000000000e+00,0.000000000000000000e+00,6.949999999999999512e-01,1.072883604180674411e-08
4.000000000000000083e-03,-1.338704300302109228e-16,1.749252065560242900e-14,3.400000745969113392e-01,7.549098102188827902e-08,-5.095071902222250586e-16,-1.873735441843079222e-14,3.800001960908211407e-01,1.978789604950578906e-07,-1.056518421063373995e-15,-2.086090476075459452e-15,4.200003016885545115e-01,3.043707635375092480e-07,-1.698349938345654244e-15,-3.112172755812050398e-15,4.600003830737632304e-01,3.866500419280605172e-07,-3.482817812128990197e-16,1.431249606658582388e-14,4.999974982629837306e-01,2.504717248441590272e-06,-2.891654297897247452e-15,1.486008156424446017e-14,5.400005633169517871e-01,5.686813698835282324e-07,-3.254524664992831056e-15,1.659613432787662957e-14,5.800007044005632828e-01,7.032084704539089856e-07,1.171249200682319478e-14,-7.085480691630349074e-15,6.200008779134020820e-01,8.850659595216472283e-07,-3.124155053830759013e-15,-1.265030285055652950e-14,6.600010549307365748e-01,1.040625621895330255e-06,-1.401992921026175505e-14,-5.497489639313975972e-15,6.950164600488794031e-01,1.644932004341015386e-05
6.000000000000000125e-03,-6.402075089840103226e-10,-8.364188067892491583e-09,3.400001983825887142e-01,1.993353293292889090e-07,-1.580195823408322207e-09,-2.907087343693341126e-08,3.800005215325494845e-01,5.235935785891575262e-07,-1.442980214652437464e-09,-5.654247024007075837e-08,4.200008024840028442e-01,8.058632393024248962e-07,-1.129025477525074863e-10,-8.319499753714619551e-08,4.600010191115755931e-01,1.023940626598360634e-06,-1.793131910622885839e-09,-9.985633573875286286e-08,4.999927374822944470e-01,7.265775430750250097e-06,-5.272277586769064098e-09,-9.356711180632655451e-08,5.400014992151243032e-01,1.505987214747555551e-06,-9.545575400460518140e-09,-4.976196518329379183e-08,5.800018752753334228e-01,1.874691267151431919e-06,-1.406315810138661183e-08,4.812198042968101989e-08,6.200023382070064537e-01,2.345363092628081679e-06,-1.879310790903407746e-08,2.159417208228631589e-07,6.600028113063571844e-01,2.798096951319027336e-06,-2.377610229623695204e-08,4.164626758222321673e-07,6.950470944063025236e-01,4.708398067932829478e-05
8.000000000000000167e-03,7.299809128022545642e-10,-2.972966375437007463e-08,3.400003517430401079e-01,3.530295847336901502e-07,2.614496813572695300e-09,-1.041010730443085982e-07,3.800009247895389519e-01,9.284566222024319464e-07,4.247970002709295849e-09,-1.958901731383953183e-07,4.200014231472733450e-01,1.430362047995060391e-06,4.214519972398514112e-09,-2.729460558324617591e-07,4.600018075618067526e-01,1.818590952556219266e-06,-2.727596435906347909e-09,-2.993026785761830583e-07,4.999859536744886146e-01,1.405063048827506574e-05,-1.258485095371622255e-08,-2.453643601430565673e-07,5.400026601027093642e-01,2.671892994993547611e-06,-2.167450358816560749e-08,-7.775354085392514340e-08,5.800033283325651823e-01,3.329464705607807792e-06,-2.987444197277833503e-08,2.544352540908380730e-07,6.200041516620796722e-01,4.158845273220788567e-06,-3.802915474889854760e-08,8.015894333363339940e-07,6.600049944443326932e-01,4.986723084015759397e-06,-4.394150181458757562e-08,1.424900381967996571e-06,6.950896673597329878e-01,8.965803372608297623e-05
1.000000000000000021e-02,1.006713289830938867e-09,-6.611680170840314292e-08,3.400005198584984401e-01,5.219886658977271335e-07,2.950933944917849343e-09,-2.285887522463729628e-07,3.800013669119486903e-01,1.374506421148937646e-06,3.556502790735275979e-09,-4.175039513320662026e-07,4.200021037611343377e-01,2.119806997397440445e-06,3.260102432900679022e-11,-5.556747645541263819e-07,4.600026723623628078e-01,2.696571952524447277e-06,-1.357124686985437916e-08,-5.592004725862064056e-07,4.999773744184019542e-01,2.263161147950957852e-05,-2.985534946202692624e-08,-3.839708190448573523e-07,5.400039341841155194e-01,3.953845545864063912e-06,-4.148166313887729419e-08,1.743925142576916979e-08,5.800049238329081369e-01,4.926835708142358636e-06,-4.930192250256407177e-08,7.464046404966348558e-07,6.200061442140455403e-01,6.151811364298989341e-06,-5.581405449994990449e-08,1.901083400599047349e-06,6.600073953276405225e-01,7.400542409039050459e-06,-5.810641111272755148e-08,3.156850460150193847e-06,6.951420216945196628e-01,1.420142054897285716e-04
1.200000000000000025e-02,3.479051481965064813e-10,-1.154922646632438882e-07,3.400006918219298235e-01,6.953745820420016743e-07,5.645509250097189221e-10,-3.929524671277572751e-07,3.800018192240804948e-01,1.833186314004288517e-06,-1.423533549036290580e-09,-6.986288352122254406e-07,4.200028001974160929e-01,2.829887509363279839e-06,-9.914696483459614393e-09,-8.900799273935644225e-07,4.600035574629926516e-01,3.600751192624818812e-06,-3.116588273108610580e-08,-8.154874828010851983e-07,4.999672174434405814e-01,3.279051275279642888e-05,-5.401711839153367863e-08,-4.215434059024631191e-07,5.400052389544943710e-01,5.266929417298174878e-06,-6.691028853648440490e-08,3.416874159897465946e-07,5.800065585290112846e-01,6.562462638325920969e-06,-7.206295630559015188e-08,1.638660690248556523e-06,6.200081870373783666e-01,8.196272248949315465e-06,-7.362418078139724016e-08,3.624819991297870779e-06,6.600098589279917993e-01,9.886207481569568489e-06,-7.004382617326284511e-08,5.704296704080670221e-06,6.952021022436363218e-01,2.020970210320666724e-04
1.400000000000000029e-02,-3.265195088887919464e-10,-1.740773047593131517e-07,3.400008598750546285e-01,8.653150169420009527e-07,-1.807134044529124821e-09,-5.827550366374570951e-07,3.800022613211259670e-01,2.283428054194429148e-06,-6.626032608512024050e-09,-1.009537767088345879e-06,4.200034810394769336e-01,3.527487437950043334e-06,-2.066719017166376357e-08,-1.228801602639030328e-06,4.600044229340594093e-01,4.488347630326218711e-06,-5.016399965254793710e-08,-1.004165088863878997e-06,4.999556895381499499e-01,4.432010068823828073e-05,-8.026678475121697466e-08,-2.776834662875665825e-07,5.400065155365292302e-01,6.550180591454647462e-06,-9.510822160325607228e-08,9.886709546423210100e-07,5.800081586408222245e-01,8.162189714159201671e-06,-9.848885055456341698e-08,3.032668183524742083e-06,6.200101879061010735e-01,1.020106031091551203e-05,-9.593520930093371551e-08,6.074139153162652394e-06,6.600122739686221651e-01,1.233310674804696972e-05,-8.753967178028172114e-08,9.165674524069570723e-06,6.952679752714004957e-01,2.679725001612975259e-04
1.600000000000000033e-02,-9.198565626661048010e-10,-2.373485740643625197e-07,3.400010187545475793e-01,1.026277214099685144e-06,-3.981403454151544000e-09,-7.819040243552766068e-07,3.800026793529760472e-01,2.710135032107321746e-06,-1.181051951936589265e-08,-1.319523474090619451e-06,4.200041249479689598e-01,4.188586898512025194e-06,-3.182266568448947094e-08,-1.527358075512723275e-06,4.600052416325135507e-01,5.328500748206195410e-06,-7.001167437436992845e-08,-1.072610174616660701e-06,4.999429857528298049e-01,5.702502014029655231e-05,-1.080561150393106719e-07,1.050031071485032407e-07,5.400077238193998763e-01,7.762248011576729247e-06,-1.256985470836081777e-07,2.015995639369763560e-06,5.800096738187481282e-01,9.676035441907652031e-06,-1.281343893577364072e-07,4.980156723005864868e-06,6.200120837330705958e-01,1.210374522481991898e-05,-1.219178135523486531e-07,9.288107196042747542e-06,6.600145640887159493e-01,1.466310571922389913e-05,-1.094374583154045727e-07,1.377640234419315058e-05,6.953378731867816409e-01,3.378743913595596659e-04
1.800000000000000211e-02,-1.481000485479073794e-09,-3.017082220625048661e-07,3.400011651396738221e-01,1.174718561982046658e-06,-6.135680676691805893e-09,-9.776906896683132038e-07,3.800030645747120017e-01,3.103612518101264600e-06,-1.717935746385505371e-08,-1.604334837008447979e-06,4.200047184360984898e-01,4.797842172585646333e-06,-4.350760460803860529e-08,-1.750337657148169263e-06,4.600059963842611510e-01,6.101812542136139092e-06,-9.084684614149627483e-08,-9.779960938268853269e-07,4.999292890714107651e-01,7.072226530701061851e-05,-1.376078474409096844e-07,7.772753904554183173e-07,5.400088383440562190e-01,8.877684455011956483e-06,-1.588894236635307635e-07,3.484081281281453367e-06,5.800110720265089226e-01,1.107262861618349203e-05,-1.611001633994897379e-07,7.552679709408125568e-06,6.200138342422127913e-01,1.386458915093524637e-05,-1.516526011907559457e-07,1.335020422893202696e-05,6.600166803187641484e-01,1.682672040156549357e-05,-1.351434357845507125e-07,1.969248953148881526e-05,6.954105106236254663e-01,4.105180571455975145e-04
2.000000000000000042e-02,-2.099705760012373085e-09,-3.644683923878444462e-07,3.400012971925348571e-01,1.308682868416382515e-06,-8.548126554857229028e-09,-1.160300786305018073e-06,3.800034121396664299e-01,3.458537613236446675e-06,-2.310400166703267880e-08,-1.844409198209173713e-06,4.200052540159738279e-01,5.346936031407527399e-06,-5.602873121104974860e-08,-1.867369197329465400e-06,4.600066776351149356e-01,6.797954932774566273e-06,-1.127676052739762123e-07,-6.799841805544025992e-07,4.999147724265317061e-01,8.523901666851746580e-05,-1.687609480116407554e-07,1.792907159965088425e-06,5.400098448673089635e-01,9.882804972436729649e-06,-1.943066938018562255e-07,5.465551197097433058e-06,5.800123352625816686e-01,1.233464749159285280e-05,-1.969083216539569536e-07,1.084713203519342520e-05,6.200154166685454271e-01,1.546158186144632333e-05,-1.847959834163158734e-07,1.838589486881425704e-05,6.600185947634424899e-01,1.879726023489353671e-05,-1.644372903781326850e-07,2.696724428744448154e-05,6.954847083840380861e-01,4.847238669136485069e-04
